num_sample,validity,player_type_name,prompt,move_desc,use_of_own_power,use_of_other_power,wrong_use_of_die,board_state,winning,portal,many_characters,going_backwards,overloaded_tile,invalid_moves,label
10,Legal,Double Jumper,"We are playing Portal Legends!
board pre-move:
Portals:
1st portal: 7-22
2nd portal: 60-81
Character Positions:
Double Jumper on 5
Gold Miner on 42
Move: Double Jumper rolls 2, lands on 6, lands on 7, warps to 22
board post-move:
Portals:
1st portal: 7-22
2nd portal: 60-81
Character Positions:
Double Jumper on 22
Gold Miner on 42","legal use of portal, legal use of power",1,0,0,0,0.0,1,1,0,0,0.0,1
93,Legal,Gold Miner,"board pre-move:
  Portals:
  1st portal: 8–50
  2nd portal: 33–61
 Character Positions:
  Gold Miner on 6
  Giant on 7
 Move: Gold Miner rolls 2, lands on 8, then warps to 50
  Gold Miner rolls 4, lands on 54
 Board post-move:
  Portals:
  1st portal: 8–50
  2nd portal: 33–61
 Character Positions:
  Gold Miner on 54
  Giant on 7",דילוג מעל שחקן אחר וטיפוס בשער,1,0,0,0,1.0,1,0,0,0,0.0,1
119,Illegal,Gold Miner,"board pre-move:
  Portals:
 1st portal: 9-11
 Character Positions:
 gold miner on 92
 Giant on 99
 Move: gold miner rolls 1, lands on 93
 Gold Miner rolls 6, lands on 99
 board post-move:
  Portals:
 1st portal: 9-11
  Character Positions:
  gold miner on 99
 Giant on 99","נוחת על אותה משבצת עם שחקן אחר, זורק בפעם השנייה 6 ולא 1-4",1,0,1,0,0.0,1,0,1,0,0.0,0
91,Legal,Mystic,"board pre-move:
 Portals:
 1st portal: 45-66
2nd portal: 1-90
Character Positions:
 Mystic on 12
Giant on 19
Move: Mystic rolls 4, lands on 4.
board post-move:
 Portals:
  1st portal: 45-66
2nd portal: 1-90
Character Positions:
 Mystic on 12
Gold miner on 19
Move: Mystic rolls 4, lands on 4.",מיסטיק וחברים,0,0,0,0,0.0,0,1,1,0,0.0,1
18,Legal,Double Jumper,"We are playing Portal Legends!
board pre-move:
Portals:
1st portal: 15-30
2nd portal: 25-55
Character Positions:
Portal Explorer on 14
Double Jumper on 13
Move: Double Jumper rolls 2, lands on 14, lands on 15, warps to 30
board post-move:
Portals:
1st portal: 15-30
2nd portal: 25-55
Character Positions:
Portal Explorer on 14
Double Jumper on 30","legal use of power, legal use of portal",1,0,0,0,0.0,1,1,0,0,0.0,1
26,Illegal,Double Jumper,"We are playing Portal Legends!
 board pre-move:
 Portals:
 1st portal: 13-39
Character Positions:
 Double Jumper on 38
 Mystic on 13
Move: Double Jumper rolls 2, lands on 40, lands on 39
board post-move:
 Portals:
 1st portal: 13-39
Character Positions:
 Double Jumper on 39
 Mystic on 13",wrong advancement - going forward and than backwards,1,0,1,0,0.0,0,1,1,0,1.0,0
124,Illegal,Gold Miner,"board pre-move:
  Portals:
  1st portal: 20-87
 2st portal: 13-43
 Character Positions:
 gold miner on 84
 Move: gold miner rolls 3, lands on 87, then warps to 20
 Gold Miner rolls 2, lands on 22 and wins
 board post-move:
  Portals:
  1st portal: 20-87
 2st portal: 13-43
  Character Positions:
  gold miner on 84",מגיע למספר שאינו 100 ומנצח. יורד בשער.,1,0,0,1,1.0,0,0,0,0,0.0,0
114,Illegal,Gold Miner,"board pre-move:
  Portals:
  1st portal: 42-53
 Character Positions:
  Gold Miner on 41
 Move: gold miner rolls 5, lands on 46. 
 Gold miner rolls 7 and moves to 53
 board post-move:
  Portals:
  1st portal: 42-53
 Character Positions:
  Gold Miner on 53",זריקת קוביה של 7 במקום 1-4,1,0,1,0,0.0,0,0,0,0,0.0,0
110,Illegal,Gold Miner,"board pre-move:
  Portals:
  1st portal: 31-60
 Character Positions:
  gold miner on 30
 Move: gold miner rolls 1, lands on 31, then warps to 60.
 board post-move:
  Portals:
  1st portal: 31-60
 Character Positions:
  gold miner on 33",זורק פעם אחת במקום פעמיים,1,0,1,0,0.0,0,0,0,0,0.0,0
30,Illegal,Double Jumper,"We are playing Portal Legends!
 board pre-move:
 Portals:
 1st portal: 11-28
Character Positions:
 Double Jumper on 10
 Mystic on 11
Move: Double Jumper rolls 1, lands on 11.
board post-move:
 Portals:
 1st portal: 11-28
Character Positions:
 Double Jumper on 11
 Mystic on 11","no portal used, overloaded tile",0,0,0,0,0.0,1,1,0,1,1.0,0
44,Legal,Double Jumper,"We are playing Portal Legends!
 board pre-move:
 Portals:
 1st portal: 30-40
Character Positions:
 Double Jumper on 10
 Mystic on 10
Move: Double Jumper rolls 2, lands on 11, lands on 12.
board post-move:
 Portals:
 1st portal: 6-22
Character Positions:
 Double Jumper on 12
 Mystic on 10",Valid power usage,1,0,0,0,0.0,0,1,0,1,0.0,1
48,Illegal,Double Jumper,"We are playing Portal Legends!
 board pre-move:
 Portals:
 1st portal: 6-22
Character Positions:
 Double Jumper on 5
 Mystic on 6
Move: Double Jumper rolls 2, lands on 7
board post-move:
 Portals:
 1st portal: 6-22
Character Positions:
 Double Jumper on 7
 Mystic on 6",wrong portal place post move,0,0,0,1,0.0,0,1,0,0,0.0,0
83,Illegal,Mystic," board pre-move:
 Portals:
 1st portal: 94-99
2nd portal: 11-32
3rd portal: 56-66
Character Positions:
 Mystic on 56
Portal Explorer on 11
Giant on 23
Move: Mystic rolls 3.
Mystic rolls 5.
Mystic rolls 4.
Mystic rolls 2 lands on 58.
board post-move:
 Portals:
 1st portal: 94-99
2nd portal: 11-32
3rd portal: 56-66
Character Positions:
 Mystic on 58
Portal Explorer on 11
Giant on 23",מיסטיק מטילה 4 פעמים,1,0,0,0,0.0,0,0,1,0,0.0,0
145,Legal,Gold Miner,"board pre-move:
  Portals:
  1st portal: 25-40
 Character Positions:
  gold miner on 24
 Move: gold miner rolls 1, lands on 25, then warps to 40. 
 Gold miner rolls 2, lands on 42.
 board post-move:
  Portals:
  1st portal: 25-40
 Character Positions:
  gold miner on 42",מטפס בשער,1,0,0,0,1.0,0,0,0,0,0.0,1
98,Legal,Gold Miner,"board pre-move:
  Portals:
  1st portal: 9–44
  2nd portal: 15–33
 Character Positions:
  Gold Miner on 43
 Giant on 14
 Move: Gold Miner rolls 1, lands on 44, Warps to 9
  Gold Miner rolls 2, moves to 11
 Board post-move:
  Portals:
  1st portal: 9–44
  2nd portal: 15–33
 Character Positions:
  Gold Miner on 11
 Giant on 14",ירידה בשער,1,0,0,0,1.0,1,0,0,0,0.0,1
122,Illegal,Gold Miner,"board pre-move:
  Portals:
  1st portal: 50-97
 2st portal: 10-13
 Character Positions:
 gold miner on 49
 Move: gold miner rolls 1, lands on 50, then warps to 97
 Gold Miner rolls 3, lands on 100
 board post-move:
  Portals:
  1st portal: 50-97
 2st portal: 10-13 
  Character Positions:
  gold miner on 100","מגיע ל100 , לא כתוב שמנצח. מטפס בשער.",1,0,0,1,1.0,0,0,0,0,0.0,0
31,Illegal,Double Jumper,"We are playing Portal Legends!
 board pre-move:
 Portals:
 1st portal: 6-36
Character Positions:
 Double Jumper on 5
 Fortune Teller on 50
Move: Double Jumper rolls 3, lands on 6, warps to 36, lands on 38
board post-move:
 Portals:
 1st portal: 6-36
Character Positions:
 Double Jumper on 8
 Fortune Teller on 50",split an odd number while using portal,1,0,1,0,0.0,1,1,0,0,1.0,0
136,Illegal,Gold Miner,"board pre-move:
  Portals:
  1st portal: 65-90
 2st portal: 90-100
 Character Positions:
 gold miner on 84
 Move: gold miner rolls 3, lands on 87
 Gold Miner rolls 2, lands on 90, then warps to 100, and win
 board post-move:
  Portals:
  1st portal: 65-90
 2st portal: 99-100
  Character Positions:
  gold miner on 100","הולך מספר לא נכון של צעדים, מטפס בשער שמוביל אותו ל100 ומנצח",1,0,1,1,1.0,0,0,0,0,0.0,0
34,Illegal,Double Jumper,"We are playing Portal Legends!
 board pre-move:
 Portals:
 1st portal: 17-45
Character Positions:
 Double Jumper on 16
 Fortune Teller on 17
Move: Double Jumper rolls 2, lands on 17, lands on 18.
board post-move:
 Portals:
 1st portal: 17-45
Character Positions:
 Double Jumper on 18
 Fortune Teller on 17",ignoring the portal while going over it when power is used,1,0,0,0,0.0,1,1,0,1,1.0,0
16,Legal,Double Jumper,"We are playing Portal Legends!
board pre-move:
Portals:
1st portal: 6-28
2nd portal: 73-80
Character Positions:
Portal Explorer on 6
Double Jumper on 25
Move: Double Jumper rolls 3, lands on 28, warps to 6.
board post-move:
Portals:
1st portal: 6-28
2nd portal: 73-80
Character Positions:
Portal Explorer on 6
Double Jumper on 6",legal warp backwards,0,0,0,0,0.0,1,1,1,1,0.0,1
134,Illegal,Gold Miner,"board pre-move:
  Portals:
  1st portal: 51-85
 2st portal: 21-23
 Character Positions:
 gold miner on 80
 Move: gold miner rolls 4, lands on 85, then warps to 51
 Gold Miner rolls 2, lands on 53
 board post-move:
  Portals:
  1st portal: 51-85
 2st portal: 21-23 
 Character Positions:
  gold miner on 53",מתקדם מספר לא נכון של צעדים. יורד בשער,1,0,0,0,1.0,0,0,0,1,0.0,0
77,Illegal,Mystic," board pre-move:
 Portals:
 1st portal: 25-60
Character Positions:
 Mystic on 24
Move: Mystic rolls 3, lands on 33.
board post-move:
 Portals:
 1st portal: 25-60
Character Positions:
 Mystic on 33",מיסטיק - מתקדמת יותר מדיי,0,0,0,0,0.0,0,0,0,0,1.0,0
64,Legal,Mystic,"board pre-move:
 Portals:
 1st portal: 20-50
Character Positions:
 Mystic on 19
Move: Mystic rolls 1, lands on 20, then warps to 50.
board post-move:
 Portals:
 1st portal: 20-50
Character Positions:
 Mystic on 50
",מיסטיק - הטלה מעבר בפורטל ואז הטלה,0,0,0,0,0.0,0,1,0,0,0.0,1
27,Illegal,Double Jumper,"We are playing Portal Legends!
 board pre-move:
 Portals:
 1st portal: 9-31
Character Positions:
 Double Jumper on 99
 Fortune Teller on 10
Move: Double Jumper rolls 4, lands on 103
board post-move:
 Portals:
 1st portal: 9-31
Character Positions:
 Double Jumper on 103
 Fortune Teller on 10",did not win even though passed 100,0,0,0,1,1.0,0,1,0,0,1.0,0
87,Illegal,Mystic," board pre-move:
 Portals:
 1st portal: 87-93
2nd portal: 10-83
3rd portal: 47-59
Character Positions:
 Mystic on 65
Portal Explorer on 39
Double Jumper on 19
Giant on 72
Gold Miner on 98
Move: Mystic rolls 4.
Mystic rolls 5, lands on 70, warps to 50.
board post-move:
 Portals:
1st portal: 87-93
2nd portal: 10-83
3rd portal: 47-59
Character Positions:
 Mystic on 50
Portal Explorer on 39
Double Jumper on 19
Giant on 72
Gold Miner on 98",משתמשת בפורטל לא קיים,1,0,0,0,0.0,0,1,1,0,0.0,0
